metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices,ent_earningsZ,pricesZ,ent_ratioZ,female_ent_ratioZ,estab_changeZ,finalZ
41700,"San Antonio-New Braunfels, TX Metro Area",62636,1214856,52232,31576,2473974,10383,5.15583739965889,41700,0.012763270753855941,0.32882569039777043,0.15558510638297873,-4.130037170334533e-4,97.5,0.07606803411714667,-0.02355172169894448,-0.38828373336264227,0.2619997813213667,1.1536437890712774,0.1874200795876097
31540,"Madison, WI Metro Area",9434,378372,62307,10903,654230,3164,2.4933134587125894,31540,0.016665392904635985,0.2901953590754838,0.04055944055944056,-0.07762026493144318,96.7,0.07626698330226614,0.2171642030902598,0.17978192106023502,-0.14226207993642964,0.41860570731556995,0.1858539752690492
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",36290,1042451,61858,29633,1904226,9716,3.4812187815062767,34980,0.015561703285219296,0.3278777039111801,0.07831900668576887,0.22829818538499264,97.5,0.07625811698126181,-0.02355172169894448,0.01910828202298816,0.25207921454395593,0.6598972386856461,0.16919513248269147
35380,"New Orleans-Metairie, LA Metro Area",35524,625484,62385,24607,1275762,7690,5.679441840238919,35380,0.019288080378628617,0.3125126996383143,0.012987012987012988,0.1775530839231547,97.6,0.0762685235540219,-0.053641212297593416,0.5615892091694709,0.09128625696455267,0.24241212367418707,0.16909023328671322
12940,"Baton Rouge, LA Metro Area",27724,417917,62060,14855,834159,5635,6.633853133516943,12940,0.01780835548138904,0.3793335577246718,-0.08436213991769548,0.005238021876444308,96.6,0.0762621058383729,0.247253693688913,0.3461728640024724,0.7905586560404972,-0.3796693404869819,0.1617850995814963
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",12769,280209,51146,13311,649202,3512,4.55695570092324,19660,0.020503633691824733,0.26384193524152955,0.04005340453938585,-0.12887112887112886,97.9,0.07604658907347028,-0.14390968409354876,0.7385478131456722,-0.41804755225733636,0.4153720312240886,0.16101562623484797
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",120069,2340065,61216,87696,4737270,29716,5.131011318061677,38060,0.018511927755859386,0.33885239919722676,-0.03196506550218341,0.007839058298239382,97.2,0.07624543952450283,0.06671675009700659,0.448597962214965,0.36692810636577666,-0.04484106722948604,0.152708302567676
17460,"Cleveland-Elyria, OH Metro Area",62995,1055640,60714,34092,2058844,10145,5.9674699708233865,17460,0.016558806786721093,0.2975771441980523,-0.046242774566473986,-0.24675609088420478,95.9,0.07623552662217728,0.4578801278794641,0.1642652584632906,-0.0650125692304985,-0.13607861675675562,0.15174721510653183
20500,"Durham-Chapel Hill, NC Metro Area",13537,301236,55459,9750,567428,3819,4.493818799877836,20500,0.017182796760117584,0.3916923076923077,-0.013677811550151976,-0.28149656401119877,97.7,0.07613175709683705,-0.08373070289624662,0.2551048731380727,0.9198915168708628,0.0720183134073701,0.1475209295466683
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",33478,824659,65686,21484,1576236,5969,4.059617369118629,33340,0.013629938664007166,0.2778346676596537,0.00661455201443175,0.011717709720372836,95.6,0.07633370779819851,0.5481485996754194,-0.26211539354043906,-0.2716152577931753,0.20169076417747273,0.14046486981035472
10420,"Akron, OH Metro Area",19389,372300,60426,11706,703505,3274,5.207896857373086,10420,0.016639540586065486,0.2796856313001879,-0.05043227665706052,-0.04590969204609862,95.9,0.07622983953877138,0.4578801278794641,0.17601837555867664,-0.2522451415961347,-0.16285041206112233,0.1300190848114909
16700,"Charleston-North Charleston, SC Metro Area",15775,409289,62401,14196,775831,4518,3.8542448001290044,16700,0.01829779939187787,0.31825866441251055,0.01903807615230461,0.09418664826634467,97.9,0.07626883950310001,-0.14390968409354876,0.41742544518052416,0.15141710065209307,0.28107968390741295,0.12692359855535212
46060,"Tucson, AZ Metro Area",34405,481149,62246,12948,1022769,4945,7.150591604679632,46060,0.012659750148860593,0.3819122644423849,-0.0845341018251681,-0.0733885371001786,95.4,0.07626577874640586,0.6083275808727173,-0.40335412274324617,0.8175445177107868,-0.380768213070755,0.12268141461937485
19780,"Des Moines-West Des Moines, IA Metro Area",11582,361244,60757,12161,645911,3055,3.2061432162195085,19780,0.018827671304560534,0.25121289367650684,0.0013679890560875513,-0.3389797507788162,97.1,0.07623637573532469,0.0968062406956598,0.4945634801285608,-0.5502089827763835,0.16816412866442088,0.12181377083672086
24860,"Greenville-Anderson-Mauldin, SC Metro Area",19335,443259,54155,16418,895923,5558,4.362009570025651,24860,0.018325235539214866,0.3385308807406505,-0.02918781725888325,0.029162132752992384,97.6,0.07610600724697146,-0.053641212297593416,0.42141956232745076,0.3635634536373322,-0.027093869621897672,0.11435032166496012
36540,"Omaha-Council Bluffs, NE-IA Metro Area",18298,513830,67269,15512,934184,4113,3.5610999746998035,36540,0.016604865850838806,0.26514956162970604,0.03363636363636364,0.004349782510874456,97.1,0.07636496701011357,0.0968062406956598,0.1709704745967484,-0.4043633963254646,0.37436579664039665,0.11294578022560321
29540,"Lancaster, PA Metro Area",9795,284943,60949,8574,542903,1903,3.437529611185395,29540,0.015792876443858295,0.221950081642174,0.14398422090729784,0.932902762827413,98,0.07624016712426195,-0.1739991746921977,0.05276215716398421,-0.8564408594833681,1.0795117025872607,0.10385896701910527
12540,"Bakersfield, CA Metro Area",35445,378872,61045,9687,893119,2677,9.355402352245614,12540,0.010846259009157795,0.27634974708372045,0.005284015852047556,-0.3373185311699402,95.4,0.07624206281873058,0.6083275808727173,-0.6673597051567602,-0.28715477648998883,0.1931883595923445,0.0741969400636793
41740,"San Diego-Carlsbad, CA Metro Area",100116,1785209,69976,66531,3337685,22023,5.60808286312695,41740,0.019933277106737153,0.3310186228975966,0.08185192420394609,0.1930977130977131,100.1,0.0764184216447655,-0.8058784772638595,0.6555160744551226,0.2849485612993677,0.6824733211362005,0.06961287639799665
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",49045,1057472,61843,29425,2027059,9936,4.63794786055801,26900,0.014516104365980467,0.33767204757858965,-0.006054960409874243,0.03392496068299258,97.2,0.07625782077900109,0.06671675009700659,-0.13310859160884392,0.3545758658864515,0.12072992780701888,0.06824844301318234
44700,"Stockton-Lodi, CA Metro Area",21412,335778,84809,9501,745424,2815,6.3768323118250745,44700,0.012745766167979566,0.296284601620882,-0.06879194630872483,-0.21454451345755693,95.4,0.07671132618698655,0.6083275808727173,-0.39083202725171917,-0.07853887485916305,-0.2801725441766685,0.05578573772761866
23420,"Fresno, CA Metro Area",36749,449054,80109,9922,989255,3244,8.183648291742196,23420,0.010029769877331932,0.32695021165087684,-0.03476245654692932,-0.05796488258938016,95.4,0.07661851614529311,0.6083275808727173,-0.7862230864343317,0.242373117427567,-0.06271698155459889,0.05227127563584441
