"RPP2 Regional Price Parities by MSA and state portion"
"RPPs: Goods (index)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"25980","Hinesville, GA (Metropolitan Statistical Area)",91.3
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",91.3
"26300","Hot Springs, AR (Metropolitan Statistical Area)",91.3
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",97.9
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",96.2
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",97.7
"26620","Huntsville, AL (Metropolitan Statistical Area)",97.9
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",99.4
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",97.2
"26980","Iowa City, IA (Metropolitan Statistical Area)",96.8
"27060","Ithaca, NY (Metropolitan Statistical Area)",98.0
"27100","Jackson, MI (Metropolitan Statistical Area)",97.2
"27140","Jackson, MS (Metropolitan Statistical Area)",97.4
"27180","Jackson, TN (Metropolitan Statistical Area)",91.2
"27260","Jacksonville, FL (Metropolitan Statistical Area)",97.8
"27340","Jacksonville, NC (Metropolitan Statistical Area)",97.9
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",97.2
"27620","Jefferson City, MO (Metropolitan Statistical Area)",92.9
"27740","Johnson City, TN (Metropolitan Statistical Area)",97.9
"27780","Johnstown, PA (Metropolitan Statistical Area)",98.0
"27860","Jonesboro, AR (Metropolitan Statistical Area)",91.3
"27900","Joplin, MO (Metropolitan Statistical Area)",97.2
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",99.4
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",97.2
"28100","Kankakee, IL (Metropolitan Statistical Area)",100.1
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",96.5
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",95.4
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",97.6
"28700","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",97.9
"28740","Kingston, NY (Metropolitan Statistical Area)",98.0
"28940","Knoxville, TN (Metropolitan Statistical Area)",97.1
"29020","Kokomo, IN (Metropolitan Statistical Area)",97.2
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",97.2
"29180","Lafayette, LA (Metropolitan Statistical Area)",96.7
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",96.8
"29340","Lake Charles, LA (Metropolitan Statistical Area)",97.7
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",95.4
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",97.9
"29540","Lancaster, PA (Metropolitan Statistical Area)",98.0
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",97.2
"29700","Laredo, TX (Metropolitan Statistical Area)",97.9
"29740","Las Cruces, NM (Metropolitan Statistical Area)",95.4
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",95.4
"29940","Lawrence, KS (Metropolitan Statistical Area)",97.2
"30020","Lawton, OK (Metropolitan Statistical Area)",97.1
"30140","Lebanon, PA (Metropolitan Statistical Area)",98.0
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",99.4
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",98.0
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",97.9
"30620","Lima, OH (Metropolitan Statistical Area)",97.2
"30700","Lincoln, NE (Metropolitan Statistical Area)",97.1
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",97.7
"30860","Logan, UT-ID (Metropolitan Statistical Area)",99.4
"30980","Longview, TX (Metropolitan Statistical Area)",96.8
"31020","Longview, WA (Metropolitan Statistical Area)",99.4
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",104.8
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",97.5
"31180","Lubbock, TX (Metropolitan Statistical Area)",97.5
"31340","Lynchburg, VA (Metropolitan Statistical Area)",97.6
"31420","Macon-Bibb County, GA (Metropolitan Statistical Area)",97.0
"31460","Madera, CA (Metropolitan Statistical Area)",95.4
"31540","Madison, WI (Metropolitan Statistical Area)",96.7
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",101.2
"31740","Manhattan, KS (Metropolitan Statistical Area)",92.9
"31860","Mankato-North Mankato, MN (Metropolitan Statistical Area)",92.9
"31900","Mansfield, OH (Metropolitan Statistical Area)",97.2
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",97.9
"32780","Medford, OR (Metropolitan Statistical Area)",95.4
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",97.6
"32900","Merced, CA (Metropolitan Statistical Area)",95.4
"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",100.6
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",92.9
"33220","Midland, MI (Metropolitan Statistical Area)",97.2
"33260","Midland, TX (Metropolitan Statistical Area)",97.5
"33340","Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",95.6
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",103.9
"33540","Missoula, MT (Metropolitan Statistical Area)",99.4
"33660","Mobile, AL (Metropolitan Statistical Area)",97.9
"33700","Modesto, CA (Metropolitan Statistical Area)",95.4
"33740","Monroe, LA (Metropolitan Statistical Area)",97.4
"33780","Monroe, MI (Metropolitan Statistical Area)",98.2
"33860","Montgomery, AL (Metropolitan Statistical Area)",97.8
"34060","Morgantown, WV (Metropolitan Statistical Area)",91.3
"34100","Morristown, TN (Metropolitan Statistical Area)",91.3
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",99.4
"34620","Muncie, IN (Metropolitan Statistical Area)",97.2
"34740","Muskegon, MI (Metropolitan Statistical Area)",97.2
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",96.3
"34900","Napa, CA (Metropolitan Statistical Area)",110.7
"34940","Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",97.9
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",97.5
"35100","New Bern, NC (Metropolitan Statistical Area)",91.3
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",107.6
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",97.6
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",109.9
"35660","Niles-Benton Harbor, MI (Metropolitan Statistical Area)",97.2
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",97.9
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",98.0
"36100","Ocala, FL (Metropolitan Statistical Area)",97.9
"36140","Ocean City, NJ (Metropolitan Statistical Area)",101.2
"36220","Odessa, TX (Metropolitan Statistical Area)",97.9
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",95.7
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",97.6
"36500","Olympia-Tumwater, WA (Metropolitan Statistical Area)",106.3
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",97.1
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",97.9
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",97.2
"36980","Owensboro, KY (Metropolitan Statistical Area)",97.2
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",101.6
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",97.9
"37460","Panama City, FL (Metropolitan Statistical Area)",96.9
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",97.6
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",97.9
"37900","Peoria, IL (Metropolitan Statistical Area)",97.1
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",101.2
"38060","Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",97.2
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",96.9
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",98.1
"38340","Pittsfield, MA (Metropolitan Statistical Area)",98.0
"38540","Pocatello, ID (Metropolitan Statistical Area)",99.4
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)",98.3
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",99.0
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)",97.9
"39140","Prescott, AZ (Metropolitan Statistical Area)",99.4
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)",98.7
"39340","Provo-Orem, UT (Metropolitan Statistical Area)",95.4
"39380","Pueblo, CO (Metropolitan Statistical Area)",95.4
"39460","Punta Gorda, FL (Metropolitan Statistical Area)",97.9
